INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:  267, avg:  293, best:  850)
INFO:root:episode     0 complete - reward(new:  208, avg:  292, best:  850)
INFO:root:episode     0 complete - reward(new:  256, avg:  291, best:  850)
INFO:root:episode     0 complete - reward(new:   94, avg:  289, best:  850)
INFO:root:episode     0 complete - reward(new:  133, avg:  288, best:  850)
INFO:root:episode     0 complete - reward(new:  343, avg:  288, best:  850)
INFO:root:episode     0 complete - reward(new:  552, avg:  291, best:  850)
INFO:root:episode     0 complete - reward(new:  498, avg:  293, best:  850)
INFO:root:episode     0 complete - reward(new:   94, avg:  291, best:  850)
INFO:root:episode     0 complete - reward(new:  216, avg:  290, best:  850)
INFO:root:episode     0 complete - reward(new:  219, avg:  290, best:  850)
INFO:root:episode     0 complete - reward(new:  599, avg:  293, best:  850)
INFO:root:episode     0 complete - reward(new:  633, avg:  296, best:  850)
INFO:root:episode     0 complete - reward(new:  326, avg:  297, best:  850)
INFO:root:episode     0 complete - reward(new:  377, avg:  297, best:  850)
INFO:root:episode     0 complete - reward(new:  186, avg:  296, best:  850)
INFO:root:episode     0 complete - reward(new:  416, avg:  297, best:  850)
INFO:root:episode     0 complete - reward(new:  232, avg:  297, best:  850)
INFO:root:episode     0 complete - reward(new:  130, avg:  295, best:  850)
INFO:root:episode     0 complete - reward(new:  235, avg:  294, best:  850)
INFO:root:episode     0 complete - reward(new:  468, avg:  296, best:  850)
INFO:root:episode     0 complete - reward(new:  206, avg:  295, best:  850)
INFO:root:episode     0 complete - reward(new:  301, avg:  295, best:  850)
INFO:root:episode     0 complete - reward(new:   97, avg:  293, best:  850)
INFO:root:episode     0 complete - reward(new:  155, avg:  292, best:  850)
INFO:root:episode     0 complete - reward(new:  250, avg:  292, best:  850)
INFO:root:episode     0 complete - reward(new:  223, avg:  291, best:  850)
INFO:root:episode     0 complete - reward(new:  219, avg:  290, best:  850)
INFO:root:episode     0 complete - reward(new:  248, avg:  290, best:  850)
INFO:root:episode     0 complete - reward(new:  460, avg:  291, best:  850)
INFO:root:episode     0 complete - reward(new:  188, avg:  290, best:  850)
